codigos;municipios;obitos;pib;populacao;frota;emergencia
270010;Água Branca;5;3529,89;19377;2370;1
270020;Anadia;1;4227,97;17424;1718;1
270030;Arapiraca;172;8788,66;214006;68913;9
270040;Atalaia;7;5146,77;44322;4164;1
270050;Barra de Santo Antônio;1;4307,28;14230;1134;0
270060;Barra de São Miguel;1;6853,11;7574;935;0
270070;Batalha;3;4310,98;17076;2072;1
270080;Belém;0;4619,12;4551;672;0
270090;Belo Monte;0;4916,44;7030;396;0
270100;Boca da Mata;0;6363,83;25776;3811;1
270110;Branquinha;4;4144,77;10583;748;0
270120;Cacimbinhas;5;4218,13;10195;1198;0
270130;Cajueiro;1;4200,41;20409;1880;1
270135;Campestre;0;4274,72;6598;327;0
270140;Campo Alegre;13;4131,32;50816;2597;1
270150;Campo Grande;3;3742,67;9032;1359;0
270160;Canapi;3;3450,56;17250;1512;1
270170;Capela;1;4891,72;17077;1197;1
270180;Carneiros;0;3315,48;8290;636;0
270190;Chã Preta;2;4488,28;7146;789;1
270200;Coité do Nóia;4;3285,4;10926;1308;0
270210;Colônia Leopoldina;7;5590,6;20019;896;1
270220;Coqueiro Seco;0;4077,34;5526;605;1
270230;Coruripe;18;10334,79;52130;8160;1
270235;Craíbas;3;3655,74;22641;2571;0
270240;Delmiro Gouveia;8;6512,96;48096;12046;1
270250;Dois Riachos;2;3469,77;10880;1519;0
270255;Estrela de Alagoas;1;3266,38;17251;1989;0
270260;Feira Grande;1;3610,82;21321;2359;1
270270;Feliz Deserto;0;8534,81;4345;395;0
270280;Flexeiras;3;4165,8;12325;790;1
270290;Girau do Ponciano;8;3519,39;36600;4353;0
270300;Ibateguara;5;3990,44;15149;1101;1
270310;Igaci;8;3704,44;25188;2903;1
270320;Igreja Nova;2;6155,06;23292;2872;0
270330;Inhapi;6;3271,67;17898;2288;0
270340;Jacaré dos Homens;1;5883,95;5413;536;0
270350;Jacuípe;1;4702,17;6997;284;0
270360;Japaratinga;3;4386,41;7754;673;0
270370;Jaramataia;0;4505,31;5558;457;0
270375;Jequiá da Praia;3;9663,85;12029;821;0
270380;Joaquim Gomes;1;3471,43;22575;1339;1
270390;Jundiá;0;6069,82;4202;313;0
270400;Junqueiro;6;4654,14;23836;3177;1
270410;Lagoa da Canoa;3;3773,41;18250;2329;1
270420;Limoeiro de Anadia;6;3334,6;26992;2553;1
270430;Maceió;199;12989,48;932748;248178;26
270440;Major Isidoro;7;4350,95;18897;1701;1
270490;Mar Vermelho;0;4522,26;28749;1750;1
270450;Maragogi;3;3734,22;10284;1155;1
270460;Maravilha;1;16507,65;45977;6075;1
270470;Marechal Deodoro;5;4496,57;13619;1505;1
270480;Maribondo;2;4409,63;3652;573;0
270500;Mata Grande;1;3169,55;24698;2514;1
270510;Matriz de Camaragibe;5;4768,18;23785;2300;1
270520;Messias;4;4372,53;15682;1475;0
270530;Minador do Negrão;0;4622,67;5275;755;0
270540;Monteirópolis;1;3704,01;6935;570;0
270550;Murici;4;4610,22;26710;2239;1
270560;Novo Lino;6;4660,76;12060;953;0
270570;Olho d'Água das Flores;4;4294,19;20364;3162;1
270580;Olho d'Água do Casado;0;3975,55;8491;892;0
270590;Olho d'Água Grande;0;3941,5;4957;510;0
270600;Olivença;0;3629,8;11047;1461;0
270610;Ouro Branco;4;3309,25;10912;1497;0
270620;Palestina;2;3370,63;5112;253;0
270630;Palmeira dos Índios;17;5915,8;70368;15717;1
270640;Pão de Açúcar;2;3929,16;23811;1706;1
270642;Pariconha;3;3370,7;10264;1166;0
270644;Paripueira;1;4948,47;11347;1012;1
270650;Passo de Camaragibe;5;4673,63;14763;852;1
270660;Paulo Jacinto;1;3667,56;7426;750;1
270670;Penedo;9;5884,99;60378;11829;1
270680;Piaçabuçu;4;4540,38;17203;1228;0
270690;Pilar;10;6150,94;33305;4262;2
270700;Pindoba;0;5461,8;2866;259;0
270710;Piranhas;10;3483,52;23045;3041;1
270720;Poço das Trincheiras;2;3127,08;13872;1577;0
270730;Porto Calvo;4;5775,7;25708;3106;1
270740;Porto de Pedras;0;4441,55;8429;567;0
270750;Porto Real do Colégio;3;4895,04;19334;1185;0
270760;Quebrangulo;0;4211,77;11480;1199;1
270770;Rio Largo;10;6402,66;68481;8784;3
270780;Roteiro;0;6265,77;6656;401;0
270790;Santa Luzia do Norte;0;9028,33;6891;745;1
270800;Santana do Ipanema;20;4900,08;44932;9569;1
270810;Santana do Mundaú;2;4968,01;10961;1425;0
270820;São Brás;2;4166,03;6718;294;1
270830;São José da Laje;5;7017,65;22686;2182;1
270840;São José da Tapera;9;3250,16;30088;2624;1
270850;São Luís do Quitunde;2;6745,51;32412;2853;1
270860;São Miguel dos Campos;12;11166,52;54577;10612;1
270870;São Miguel dos Milagres;1;4608,23;7163;579;0
270880;São Sebastião;3;4296,63;32010;4099;0
270890;Satuba;2;4289,29;14603;1190;1
270895;Senador Rui Palmeira;2;3062,9;13047;1159;0
270900;Tanque d'Arca;1;3738,09;6122;645;0
270910;Taquarana;4;3894,7;19020;2313;0
270915;Teotônio Vilela;4;5219,43;41152;4803;1
270920;Traipu;2;3027,82;25702;1738;1
270930;União dos Palmares;9;6087,14;62358;10523;2
270940;Viçosa;4;4066,68;25407;3389;1
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
; ;;;;;
